Episode,Reward
1.0,-20.0
2.0,-20.0
3.0,-19.98
4.0,-19.9802
5.0,-19.990398
6.0,-20.00049402
7.0,-20.010489079800003
8.0,-20.010384189002004
9.0,-20.020280347111985
10.0,-20.030077543640864
11.0,-20.039776768204455
12.0,-20.04937900052241
13.0,-20.028885210517185
14.0,-20.028596358412013
15.0,-20.00831039482789
16.0,-20.00822729087961
17.0,-20.018145017970813
18.0,-20.027963567791105
19.0,-20.037683932113193
20.0,-20.03730709279206
21.0,-20.036934021864138
22.0,-20.046564681645496
23.0,-20.056099034829042
24.0,-20.065538044480753
25.0,-20.064882664035945
26.0,-20.074233837395585
27.0,-20.08349149902163
28.0,-20.08265658403141
29.0,-20.0918300181911
30.0,-20.09091171800919
31.0,-20.100002600829097
32.0,-20.099002574820805
33.0,-20.108012549072598
34.0,-20.116932423581872
35.0,-20.11576309934605
36.0,-20.10460546835259
37.0,-20.113559413669066
38.0,-20.122423819532376
39.0,-20.131199581337054
40.0,-20.129887585523683
41.0,-20.128588709668445
42.0,-20.137302822571762
43.0,-20.135929794346044
44.0,-20.144570496402583
45.0,-20.153124791438557
46.0,-20.141593543524174
47.0,-20.14017760808893
48.0,-20.14877583200804
49.0,-20.157288073687962
50.0,-20.15571519295108
51.0,-20.164158041021572
52.0,-20.162516460611357
53.0,-20.170891296005244
54.0,-20.17918238304519
55.0,-20.18739055921474
56.0,-20.195516653622594
57.0,-20.193561487086367
58.0,-20.191625872215504
59.0,-20.17970961349335
60.0,-20.18791251735842
61.0,-20.196033392184837
62.0,-20.20407305826299
63.0,-20.202032327680357
64.0,-20.210012004403552
65.0,-20.217911884359516
66.0,-20.21573276551592
67.0,-20.203575437860763
68.0,-20.211539683482158
69.0,-20.209424286647337
70.0,-20.187330043780864
71.0,-20.195456743343055
72.0,-20.19350217590962
73.0,-20.201567154150528
74.0,-20.189551482609023
75.0,-20.197655967782932
76.0,-20.205679408105105
77.0,-20.213622614024054
78.0,-20.221486387883814
79.0,-20.22927152400498
80.0,-20.23697880876493
81.0,-20.24460902067728
82.0,-20.242162930470506
83.0,-20.249741301165802
84.0,-20.257243888154143
85.0,-20.2646714492726
86.0,-20.272024734779876
87.0,-20.27930448743208
88.0,-20.286511442557757
89.0,-20.28364632813218
90.0,-20.270809864850857
91.0,-20.26810176620235
92.0,-20.275420748540327
93.0,-20.242666541054927
94.0,-20.25023987564438
95.0,-20.227737476887935
96.0,-20.225460102119055
97.0,-20.223205501097862
98.0,-20.230973446086885
99.0,-20.238663711626018
100.0,-20.22627707450976
101.0,-20.234014303764663
102.0,-20.24167416072702
103.0,-20.24925741911975
104.0,-20.236764844928555
105.0,-20.24439719647927
106.0,-20.241953224514475
107.0,-20.24953369226933
108.0,-20.257038355346637
109.0,-20.26446797179317
110.0,-20.23182329207524
111.0,-20.23950505915449
112.0,-20.227110008562946
113.0,-20.234838908477318
114.0,-20.242490519392547
115.0,-20.230065614198622
116.0,-20.237764958056637
117.0,-20.23538730847607
118.0,-20.24303343539131
119.0,-20.2506031010374
120.0,-20.258097070027027
121.0,-20.265516099326756
122.0,-20.26286093833349
123.0,-20.270232328950154
124.0,-20.277530005660655
125.0,-20.284754705604048
126.0,-20.291907158548007
127.0,-20.278988086962528
128.0,-20.2761982060929
129.0,-20.273436224031972
130.0,-20.260701861791652
131.0,-20.258094843173733
132.0,-20.265513894741996
133.0,-20.272858755794577
134.0,-20.28013016823663
135.0,-20.277328866554264
136.0,-20.27455557788872
137.0,-20.281810022109834
138.0,-20.288991921888737
139.0,-20.28610200266985
140.0,-20.273240982643152
141.0,-20.25050857281672
142.0,-20.258003487088555
143.0,-20.26542345221767
144.0,-20.262769217695492
145.0,-20.260141525518538
146.0,-20.267540110263354
147.0,-20.27486470916072
148.0,-20.282116062069115
149.0,-20.279294901448424
150.0,-20.27650195243394
151.0,-20.2737369329096
152.0,-20.270999563580503
153.0,-20.2682895679447
154.0,-20.27560667226525
155.0,-20.2828506055426
156.0,-20.280022099487173
157.0,-20.287221878492304
158.0,-20.294349659707382
159.0,-20.301406163110308
160.0,-20.308392101479207
161.0,-20.315308180464417
162.0,-20.322155098659774
163.0,-20.318933547673176
164.0,-20.315744212196442
165.0,-20.32258677007448
166.0,-20.279360902373735
167.0,-20.26656729335
168.0,-20.2639016204165
169.0,-20.241262604212334
170.0,-20.228849978170214
171.0,-20.216561478388513
172.0,-20.224395863604627
173.0,-20.22215190496858
174.0,-20.229930385918895
175.0,-20.217631082059707
176.0,-20.20545477123911
177.0,-20.193400223526723
178.0,-20.201466221291458
179.0,-20.199451559078543
180.0,-20.197457043487756
181.0,-20.20548247305288
182.0,-20.21342764832235
183.0,-20.201293371839128
184.0,-20.199280438120734
185.0,-20.197287633739528
186.0,-20.19531475740213
187.0,-20.19336160982811
188.0,-20.17142799372983
189.0,-20.15971371379253
190.0,-20.158116576654603
191.0,-20.16653541088806
192.0,-20.16487005677918
193.0,-20.163221356211388
194.0,-20.171589142649275
195.0,-20.169873251222782
196.0,-20.168174518710554
197.0,-20.166492773523448
198.0,-20.164827845788214
199.0,-20.153179567330334
200.0,-20.15164777165703
201.0,-20.14013129394046
202.0,-20.148729981001054
203.0,-20.137242681191044
204.0,-20.13587025437913
205.0,-20.134511551835338
206.0,-20.143166436316985
207.0,-20.151734771953816
208.0,-20.16021742423428
209.0,-20.158615249991936
210.0,-20.147029097492016
211.0,-20.155558806517096
212.0,-20.154003218451923
213.0,-20.132463186267405
214.0,-20.11113855440473
215.0,-20.10002716886068
216.0,-20.099026897172074
217.0,-20.108036628200352
218.0,-20.11695626191835
219.0,-20.115786699299164
220.0,-20.09462883230617
221.0,-20.093682543983107
222.0,-20.092745718543274
223.0,-20.09181826135784
224.0,-20.090900078744262
225.0,-20.09999107795682
226.0,-20.10899116717725
227.0,-20.11790125550548
228.0,-20.116722242950424
229.0,-20.11555502052092
230.0,-20.114399470315707
231.0,-20.10325547561255
232.0,-20.112222920856425
233.0,-20.12110069164786
234.0,-20.11988968473138
235.0,-20.128690787884068
236.0,-20.137403880005227
237.0,-20.136029841205172
238.0,-20.11466954279312
239.0,-20.12352284736519
240.0,-20.11228761889154
241.0,-20.111164742702623
242.0,-20.110053095275596
243.0,-20.09895256432284
244.0,-20.10796303867961
245.0,-20.116883408292814
246.0,-20.125714574209887
247.0,-20.12445742846779
248.0,-20.12321285418311
249.0,-20.131980725641277
250.0,-20.140660918384864
251.0,-20.149254309201016
252.0,-20.147761766109006
253.0,-20.136284148447917
254.0,-20.134921306963438
255.0,-20.143572093893805
256.0,-20.152136372954867
257.0,-20.15061500922532
258.0,-20.159108859133067
259.0,-20.147517770541736
260.0,-20.156042592836318
261.0,-20.154482166907954
262.0,-20.152937345238872
263.0,-20.131407971786484
264.0,-20.11009389206862
265.0,-20.108992953147933
266.0,-20.117903023616453
267.0,-20.096723993380287
268.0,-20.085756753446486
269.0,-20.09489918591202
270.0,-20.093950194052898
271.0,-20.07301069211237
272.0,-20.062280585191246
273.0,-20.071657779339333
274.0,-20.08094120154594
275.0,-20.08013178953048
276.0,-20.089330471635176
277.0,-20.078437166918825
278.0,-20.067652795249636
279.0,-20.04697626729714
280.0,-20.03650650462417
281.0,-20.04614143957793
282.0,-20.02568002518215
283.0,-20.03542322493033
284.0,-20.025068992681028
285.0,-20.014818302754218
286.0,-20.014670119726674
287.0,-20.014523418529407
288.0,-19.984378184344116
289.0,-19.994534402500676
290.0,-19.99458905847567
291.0,-19.99464316789091
292.0,-20.004696736212
293.0,-19.98464976884988
294.0,-19.994803271161384
295.0,-20.00485523844977
296.0,-20.014806686065274
297.0,-19.99465861920462
298.0,-19.964712033012578
299.0,-19.96506491268245
300.0,-19.955414263555628
301.0,-19.965860120920073
302.0,-19.976201519710873
303.0,-19.966439504513765
304.0,-19.94677510946863
305.0,-19.957307358373942
306.0,-19.967734284790204
307.0,-19.978056941942302
308.0,-19.98827637252288
309.0,-19.998393608797652
310.0,-19.998409672709673
311.0,-19.978425575982577
312.0,-19.97864132022275
313.0,-19.97885490702052
314.0,-19.989066357950314
315.0,-19.979175694370813
316.0,-19.979383937427105
317.0,-19.97959009805283
318.0,-19.989794197072303
319.0,-19.96989625510158
320.0,-19.960197292550568
321.0,-19.930595319625063
322.0,-19.921289366428812
323.0,-19.922076472764523
324.0,-19.93285570803688
325.0,-19.94352715095651
326.0,-19.934091879446946
327.0,-19.924750960652478
328.0,-19.895503451045954
329.0,-19.896548416535495
330.0,-19.88758293237014
331.0,-19.87870710304644
332.0,-19.849920032015977
333.0,-19.861420831695817
334.0,-19.84280662337886
335.0,-19.834378557145072
336.0,-19.846034771573624
337.0,-19.827574423857886
338.0,-19.839298679619308
339.0,-19.830905692823116
340.0,-19.822596635894886
341.0,-19.81437066953594
342.0,-19.81622696284058
343.0,-19.788064693212178
344.0,-19.790184046280054
345.0,-19.782282205817253
346.0,-19.764459383759082
347.0,-19.736814789921493
348.0,-19.72944664202228
349.0,-19.702152175602055
350.0,-19.705130653846034
351.0,-19.718079347307572
352.0,-19.730898553834496
353.0,-19.723589568296152
354.0,-19.71635367261319
355.0,-19.68919013588706
356.0,-19.66229823452819
357.0,-19.665675252182908
358.0,-19.65901849966108
359.0,-19.65242831466447
360.0,-19.645904031517826
361.0,-19.629444991202647
362.0,-19.64315054129062
363.0,-19.646719035877712
364.0,-19.640251845518936
365.0,-19.653849327063746
366.0,-19.66731083379311
367.0,-19.660637725455178
368.0,-19.65403134820063
369.0,-19.65749103471862
370.0,-19.640916124371433
371.0,-19.65450696312772
372.0,-19.647961893496444
373.0,-19.66148227456148
374.0,-19.674867451815864
375.0,-19.688118777297706
376.0,-19.68123758952473
377.0,-19.674425213629483
378.0,-19.677680961493188
379.0,-19.630904151878255
380.0,-19.61459511035947
381.0,-19.598449159255875
382.0,-19.612464667663318
383.0,-19.576340020986684
384.0,-19.57057662077682
385.0,-19.57487085456905
386.0,-19.58912214602336
387.0,-19.573230924563127
388.0,-19.587498615317497
389.0,-19.57162362916432
390.0,-19.585907392872677
391.0,-19.57004831894395
392.0,-19.57434783575451
393.0,-19.558604357396963
394.0,-19.543018313822994
395.0,-19.537588130684764
396.0,-19.512212249377917
397.0,-19.50709012688414
398.0,-19.5220192256153
399.0,-19.506799033359147
400.0,-19.491731043025556
401.0,-19.466813732595302
402.0,-19.48214559526935
403.0,-19.437324139316654
404.0,-19.45295089792349
405.0,-19.448421388944254
406.0,-19.43393717505481
407.0,-19.409597803304266
408.0,-19.425501825271223
409.0,-19.441246807018512
410.0,-19.436834338948326
411.0,-19.42246599555884
412.0,-19.418241335603255
413.0,-19.374058922247222
414.0,-19.350318333024752
415.0,-19.306815149694504
416.0,-19.30374699819756
417.0,-19.320709528215584
418.0,-19.33750243293343
419.0,-19.294127408604094
420.0,-19.311186134518053
421.0,-19.328074273172874
422.0,-19.314793530441143
423.0,-19.33164559513673
424.0,-19.328329139185364
425.0,-19.33504584779351
426.0,-19.301695389315576
427.0,-19.31867843542242
428.0,-19.315491651068196
429.0,-19.312336734557515
430.0,-19.26921336721194
431.0,-19.236521233539822
432.0,-19.24415602120442
433.0,-19.24171446099238
434.0,-19.23929731638246
435.0,-19.236904343218637
436.0,-19.24453529978645
437.0,-19.212089946788584
438.0,-19.2299690473207
439.0,-19.237669356847494
440.0,-19.23529266327902
441.0,-19.20293973664623
442.0,-19.15091033927977
443.0,-19.149401235886973
444.0,-19.167907223528104
445.0,-19.136228151292823
446.0,-19.154865869779893
447.0,-19.123317211082096
448.0,-19.112084038971275
449.0,-19.110963198581565
450.0,-19.099853566595748
451.0,-19.10885503092979
452.0,-19.12776648062049
453.0,-19.126488815814287
454.0,-19.135223927656142
455.0,-19.15387168837958
456.0,-19.142332971495787
457.0,-19.14090964178083
458.0,-19.09950054536302
459.0,-19.078505539909393
460.0,-19.0377204845103
461.0,-19.037343279665198
462.0,-18.996969846868545
463.0,-18.987000148399858
464.0,-19.00713014691586
465.0,-19.017058845446698
466.0,-19.03688825699223
467.0,-19.03651937442231
468.0,-19.056154180678085
469.0,-19.075592638871306
470.0,-19.094836712482593
471.0,-19.09388834535777
472.0,-19.082949461904192
473.0,-19.082119967285152
474.0,-19.0912987676123
475.0,-19.100385779936175
476.0,-19.099381922136814
477.0,-19.098388102915447
478.0,-19.10740422188629
479.0,-19.10633017966743
480.0,-19.105266877870758
481.0,-19.124214209092052
482.0,-19.13297206700113
483.0,-19.13164234633112
484.0,-19.150325922867808
485.0,-19.14882266363913
486.0,-19.16733443700274
487.0,-19.145661092632714
488.0,-19.14420448170639
489.0,-19.112762436889327
490.0,-19.111634812520435
491.0,-19.11051846439523
492.0,-19.10941327975128
493.0,-19.08831914695377
494.0,-19.02743595548423
495.0,-19.04716159592939
496.0,-19.026689979970097
497.0,-18.976423080170395
498.0,-18.98665884936869
499.0,-19.006792260875006
500.0,-19.006724338266256
501.0,-19.006657094883593
502.0,-18.976590523934757
503.0,-18.99682461869541
504.0,-19.006856372508455
505.0,-18.986787808783372
506.0,-18.976919930695537
507.0,-18.927150731388583
508.0,-18.917879224074696
509.0,-18.91870043183395
510.0,-18.939513427515614
511.0,-18.94011829324046
512.0,-18.950717110308055
513.0,-18.941209939204974
514.0,-18.951797839812922
515.0,-18.962279861414792
516.0,-18.962657062800645
517.0,-18.983030492172638
