Episode,Reward
1.0,-21.0
2.0,-21.0
3.0,-21.0
4.0,-20.99
5.0,-20.990099999999998
6.0,-20.990199
7.0,-20.970297010000003
8.0,-20.970594039900003
9.0,-20.970888099501003
10.0,-20.961179218505993
11.0,-20.95156742632093
12.0,-20.952051752057724
13.0,-20.952531234537147
14.0,-20.953005922191778
15.0,-20.95347586296986
16.0,-20.953941104340164
17.0,-20.954401693296763
18.0,-20.954857676363797
19.0,-20.95530909960016
20.0,-20.95575600860416
21.0,-20.956198448518116
22.0,-20.956636464032936
23.0,-20.957070099392606
24.0,-20.95749939839868
25.0,-20.947924404414692
26.0,-20.948445160370547
27.0,-20.93896070876684
28.0,-20.93957110167917
29.0,-20.92017539066238
30.0,-20.920973636755757
31.0,-20.9117639003882
32.0,-20.892646261384318
33.0,-20.893719798770476
34.0,-20.894782600782772
35.0,-20.875834774774944
36.0,-20.877076427027195
37.0,-20.878305662756922
38.0,-20.859522606129353
39.0,-20.86092738006806
40.0,-20.86231810626738
41.0,-20.863694925204708
42.0,-20.85505797595266
43.0,-20.856507396193134
44.0,-20.8479423222312
45.0,-20.82946289900889
46.0,-20.831168270018804
47.0,-20.832856587318616
48.0,-20.834528021445433
49.0,-20.836182741230978
50.0,-20.827820913818666
51.0,-20.80954270468048
52.0,-20.81144727763368
53.0,-20.80333280485734
54.0,-20.805299476808766
55.0,-20.797246482040677
56.0,-20.78927401722027
57.0,-20.781381277048066
58.0,-20.783567464277585
59.0,-20.775731789634808
60.0,-20.77797447173846
61.0,-20.770194727021074
62.0,-20.76249277975086
63.0,-20.754867851953353
64.0,-20.75731917343382
65.0,-20.739745981699485
66.0,-20.70234852188249
67.0,-20.675325036663665
68.0,-20.678571786297027
69.0,-20.681786068434057
70.0,-20.674968207749714
71.0,-20.678218525672218
72.0,-20.651436340415497
73.0,-20.65492197701134
74.0,-20.658372757241228
75.0,-20.661789029668817
76.0,-20.64517113937213
77.0,-20.64871942797841
78.0,-20.652232233698626
79.0,-20.65570991136164
80.0,-20.659152812248024
81.0,-20.662561284125545
82.0,-20.66593567128429
83.0,-20.659276314571446
84.0,-20.642683551425733
85.0,-20.646256715911477
86.0,-20.649794148752363
87.0,-20.65329620726484
88.0,-20.65676324519219
89.0,-20.66019561274027
90.0,-20.663593656612868
91.0,-20.656957720046737
92.0,-20.64038814284627
93.0,-20.643984261417806
94.0,-20.61754441880363
95.0,-20.61136897461559
96.0,-20.605255284869433
97.0,-20.599202732020736
98.0,-20.57321070470053
99.0,-20.577478597653524
100.0,-20.571703811676986
101.0,-20.575986773560217
102.0,-20.580226905824617
103.0,-20.58442463676637
104.0,-20.588580390398707
105.0,-20.582694586494718
106.0,-20.58686764062977
107.0,-20.590998964223473
108.0,-20.59508897458124
109.0,-20.59913808483543
110.0,-20.60314670398708
111.0,-20.577115236947208
112.0,-20.571344084577735
113.0,-20.57563064373196
114.0,-20.54987433729464
115.0,-20.554375593921694
116.0,-20.558831837982478
117.0,-20.553243519602653
118.0,-20.537711084406627
119.0,-20.542333973562563
120.0,-20.52691063382694
121.0,-20.53164152748867
122.0,-20.536325112213785
123.0,-20.54096186109165
124.0,-20.54555224248073
125.0,-20.550096720055926
126.0,-20.554595752855366
127.0,-20.539049795326815
128.0,-20.533659297373546
129.0,-20.53832270439981
130.0,-20.542939477355812
131.0,-20.527510082582257
132.0,-20.532234981756435
133.0,-20.52691263193887
134.0,-20.51164350561948
135.0,-20.49652707056329
136.0,-20.491561799857656
137.0,-20.49664618185908
138.0,-20.481679720040493
139.0,-20.48686292284009
140.0,-20.49199429361169
141.0,-20.49707435067557
142.0,-20.482103607168817
143.0,-20.48728257109713
144.0,-20.482409745386157
145.0,-20.467585647932296
146.0,-20.452909791452974
147.0,-20.458380693538444
148.0,-20.46379688660306
149.0,-20.459158917737028
150.0,-20.44456732855966
151.0,-20.430121655274064
152.0,-20.435820438721326
153.0,-20.431462234334113
154.0,-20.417147611990774
155.0,-20.40297613587087
156.0,-20.39894637451216
157.0,-20.39495691076704
158.0,-20.38100734165937
159.0,-20.377197268242774
160.0,-20.363425295560347
161.0,-20.359791042604744
162.0,-20.346193132178698
163.0,-20.352731200856912
164.0,-20.359203888848345
165.0,-20.365611849959862
166.0,-20.371955731460265
167.0,-20.36823617414566
168.0,-20.354553812404205
169.0,-20.361008274280163
170.0,-20.36739819153736
171.0,-20.35372420962199
172.0,-20.31018696752577
173.0,-20.30708509785051
174.0,-20.314014246872006
175.0,-20.320874104403288
176.0,-20.307665363359256
177.0,-20.304588709725664
178.0,-20.301542822628406
179.0,-20.29852739440212
180.0,-20.3055421204581
181.0,-20.302486699253517
182.0,-20.27946183226098
183.0,-20.286667213938372
184.0,-20.28380054179899
185.0,-20.280962536380997
186.0,-20.258152911017188
187.0,-20.265571381907016
188.0,-20.272915668087947
189.0,-20.280186511407067
190.0,-20.227384646292993
191.0,-20.235110799830064
192.0,-20.242759691831765
193.0,-20.250332094913446
194.0,-20.24782877396431
195.0,-20.245350486224666
196.0,-20.242896981362417
197.0,-20.250468011548794
198.0,-20.227963331433305
199.0,-20.22568369811897
200.0,-20.233426861137783
201.0,-20.241092592526407
202.0,-20.238681666601142
203.0,-20.226294849935133
204.0,-20.23403190143578
205.0,-20.241691582421424
206.0,-20.239274666597208
207.0,-20.236881919931236
208.0,-20.224513100731926
209.0,-20.222267969724605
210.0,-20.21004529002736
211.0,-20.217944837127085
212.0,-20.205765388755815
213.0,-20.19370773486826
214.0,-20.191770657519577
215.0,-20.179852950944383
216.0,-20.16805442143494
217.0,-20.176373877220595
218.0,-20.184610138448388
219.0,-20.182764037063905
220.0,-20.190936396693267
221.0,-20.199027032726335
222.0,-20.19703676239907
223.0,-20.18506639477508
224.0,-20.16321573082733
225.0,-20.171583573519055
226.0,-20.179867737783866
227.0,-20.18806906040603
228.0,-20.17618836980197
229.0,-20.164426486103952
230.0,-20.17278222124291
231.0,-20.17105439903048
232.0,-20.169343855040175
233.0,-20.177650416489772
234.0,-20.145873912324877
235.0,-20.144415173201626
236.0,-20.13297102146961
237.0,-20.131641311254914
238.0,-20.130324898142362
239.0,-20.11902164916094
240.0,-20.10783143266933
241.0,-20.116753118342636
242.0,-20.11558558715921
243.0,-20.114429731287615
244.0,-20.11328543397474
245.0,-20.122152579634992
246.0,-20.120931053838643
247.0,-20.119721743300254
248.0,-20.11852452586725
249.0,-20.127339280608577
250.0,-20.13606588780249
251.0,-20.12470522892447
252.0,-20.123458176635225
253.0,-20.112223594868873
254.0,-20.121101358920185
255.0,-20.109890345330985
256.0,-20.108791441877674
257.0,-20.107703527458895
258.0,-20.116626492184306
259.0,-20.105460227262466
260.0,-20.10440562498984
261.0,-20.083361568739942
262.0,-20.092527953052542
263.0,-20.081602673522017
264.0,-20.090786646786796
265.0,-20.089878780318926
266.0,-20.098979992515737
267.0,-20.10799019259058
268.0,-20.116910290664677
269.0,-20.11574118775803
270.0,-20.12458377588045
271.0,-20.113337938121646
272.0,-20.12220455874043
273.0,-20.120982513153027
274.0,-20.109772688021497
275.0,-20.118674961141284
276.0,-20.07748821152987
277.0,-20.086713329414575
278.0,-20.09584619612043
279.0,-20.104887734159227
280.0,-20.103838856817635
281.0,-20.11280046824946
282.0,-20.121672463566966
283.0,-20.130455738931296
284.0,-20.099151181541984
285.0,-20.088159669726565
286.0,-20.057278073029302
287.0,-20.056705292299007
288.0,-20.056138239376015
289.0,-20.055576856982253
290.0,-20.055021088412428
291.0,-20.034470877528303
292.0,-20.03412616875302
293.0,-20.02378490706549
294.0,-20.01354705799484
295.0,-20.01341158741489
296.0,-20.01327747154074
297.0,-20.003144696825334
298.0,-20.00311324985708
299.0,-20.00308211735851
300.0,-20.003051296184925
301.0,-19.963020783223076
302.0,-19.973390575390845
303.0,-19.983656669636936
304.0,-19.993820102940568
305.0,-20.003881901911164
306.0,-20.00384308289205
307.0,-20.003804652063128
308.0,-20.013766605542497
309.0,-20.02362893948707
